Quotation ID;Product Description;HSCODE;FIABILITY
0197308e-7533-796d-bb58-d75d326a5867;materiel medical;;
01973123-cd57-7dc0-81e7-72ab006428be;MOTEUR;;
019730f5-dda5-7c92-80fb-49c6565b2acc;Biological Non hazardous exemple;;
0197366d-432f-77ae-be1f-abd78ed1f9f7;lustre;;
019734ae-1e14-7b1b-b925-66c9c1743dd1;FILM ADHESIF ;;
0197365f-7255-7fb4-8db4-78df5caeeb73;caisse enregistreuse;;
01973525-c787-78bd-88e7-b25f46280175;une palette de piEce;;
019737dd-e1dd-7b2c-8de3-9aedfdd587af;VElo ;;
01973a3a-57ee-740f-9a42-e20a02abf826;Armoire mEtallique;;
01973a5f-8958-7c1f-a79a-4d66ab9c9e8d;Verre et equipement bar;;
01973b2c-b0d6-74a5-aee5-02a7144be750;Materiel audio;;
01973ae9-f807-7ca8-b2e0-0e18e7ff89fe;NOURRITURE CHAT EN CARTONS FERMES;;
01973b58-9579-7162-a1ed-aca39a390e8c;GOODIES KEKEMONO;;
01973a20-689a-7dd7-9a7b-d36ed595918f;conditionnE en carton sur palette non gerbeable;;
01973a8d-7566-7491-93f4-29e3fe605f5e;Fourche de manuscopic;;
01973ae6-a0b0-7a5f-a16e-b99d56146a89;appareil technique  ;;
01973bcd-c6c9-745b-8ca8-cb9b2907eefe;fibres;;
01973af0-f64c-7369-b7d9-5fcf0fe291c1;Chevalet et toiles;;
01973b08-6b3a-740f-a250-0b5fffe4f2c3;Chevalet et toiles;;
01973aff-0142-7e6d-b71f-4ed991dba867;Chevalet et toiles;;
01973b03-2804-7f9e-af91-93d19942587d;Chevalet et toiles;;
01973b2c-29d7-77fe-a98c-c0326ea45d27;PIECES CARROSSERIE ;;
01973f03-28b5-77aa-9fc2-d2949a97c63c;Boîte de vitesse ;;
01973f0c-d8ae-7408-b6c8-5a72b73c84f4;emballage;;
0197405c-cf1c-78aa-9c30-cd1e45e5a657;#N/A;;
019741d4-d434-742d-aa6d-646eb95c5c1a;PARE CHOC AR;;
01973f39-a3ad-7e78-8db1-1918212bed4c;pieces mecanique;;
01973fa5-6e57-751a-a5ff-4b9f69cc57ec;documents;;
01974031-2199-7837-ae23-f607a54c1ba2;6 tables mange-debout;;
01973eec-524b-76d4-a543-d425f54ee127;pieces vehicule;;
019744b5-9113-7ea3-8539-248724c550d2;GOODIES;;
