Goods code;Language;Hier. Pos.;Description
0100000000 80;EN;2;LIVE ANIMALS
0200000000 80;EN;2;MEAT AND EDIBLE MEAT OFFAL
0300000000 80;EN;2;FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES
0400000000 80;EN;2;"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
0500000000 80;EN;2;PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED
0600000000 80;EN;2;"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
0700000000 80;EN;2;EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS
0800000000 80;EN;2;"EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS"
0900000000 80;EN;2;COFFEE, TEA, MATÉ AND SPICES
1000000000 80;EN;2;CEREALS
1100000000 80;EN;2;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1200000000 80;EN;2;"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER"
1300000000 80;EN;2;"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS"
1400000000 80;EN;2;"VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED"
1500000000 80;EN;2;"ANIMAL, VEGETABLE OR MICROBIAL FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES"
1600000000 80;EN;2;PREPARATIONS OF MEAT, OF FISH, OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES, OR OF INSECTS
1700000000 80;EN;2;SUGARS AND SUGAR CONFECTIONERY
1800000000 80;EN;2;COCOA AND COCOA PREPARATIONS
1900000000 80;EN;2;"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
2000000000 80;EN;2;PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS
2100000000 80;EN;2;MISCELLANEOUS EDIBLE PREPARATIONS
2200000000 80;EN;2;BEVERAGES, SPIRITS AND VINEGAR
2300000000 80;EN;2;"RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
2400000000 80;EN;2;"TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES; PRODUCTS, WHETHER OR NOT CONTAINING NICOTINE, INTENDED FOR INHALATION WITHOUT COMBUSTION; OTHER NICOTINE CONTAINING PRODUCTS INTENDED FOR THE INTAKE OF NICOTINE INTO THE HUMAN BODY"
2500000000 80;EN;2;"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT"
2600000000 80;EN;2;ORES, SLAG AND ASH
2700000000 80;EN;2;"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
2800000000 80;EN;2;"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
2900000000 80;EN;2;ORGANIC CHEMICALS
3000000000 80;EN;2;PHARMACEUTICAL PRODUCTS
3100000000 80;EN;2;FERTILISERS
3200000000 80;EN;2;"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
3300000000 80;EN;2;"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
