Goods code;Language;Hier. Pos.;Description
0100000000 80;FR;2;ANIMAUX VIVANTS
0200000000 80;FR;2;VIANDES ET ABATS COMESTIBLES
0300000000 80;FR;2;POISSONS ET CRUSTACÉS, MOLLUSQUES ET AUTRES INVERTÉBRÉS AQUATIQUES
0400000000 80;FR;2;"LAIT ET PRODUITS DE LA LAITERIE; ŒUFS D'OISEAUX; MIEL NATUREL; PRODUITS COMESTIBLES D'ORIGINE ANIMALE, NON DÉNOMMÉS NI COMPRIS AILLEURS"
0500000000 80;FR;2;AUTRES PRODUITS D'ORIGINE ANIMALE, NON DÉNOMMÉS NI COMPRIS AILLEURS
0600000000 80;FR;2;PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE
0700000000 80;FR;2;LÉGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES
0800000000 80;FR;2;"FRUITS COMESTIBLES; ÉCORCES D'AGRUMES OU DE MELONS"
0900000000 80;FR;2;CAFÉ, THÉ, MATÉ ET ÉPICES
1000000000 80;FR;2;CÉRÉALES
1100000000 80;FR;2;"PRODUITS DE LA MINOTERIE; MALT; AMIDONS ET FÉCULES; INULINE; GLUTEN DE FROMENT"
1200000000 80;FR;2;"GRAINES ET FRUITS OLÉAGINEUX; GRAINES, SEMENCES ET FRUITS DIVERS; PLANTES INDUSTRIELLES OU MÉDICINALES; PAILLES ET FOURRAGES"
1300000000 80;FR;2;GOMMES, RÉSINES ET AUTRES SUCS ET EXTRAITS VÉGÉTAUX
1400000000 80;FR;2;MATIÈRES À TRESSER ET AUTRES PRODUITS D'ORIGINE VÉGÉTALE, NON DÉNOMMÉS NI COMPRIS AILLEURS
1500000000 80;FR;2;"GRAISSES ET HUILES ANIMALES, VÉGÉTALES OU D’ORIGINE MICROBIENNE ET PRODUITS DE LEUR DISSOCIATION;GRAISSES ALIMENTAIRES ÉLABORÉES;CIRES D'ORIGINE ANIMALE OU VÉGÉTALE"
1600000000 80;FR;2;PRÉPARATIONS DE VIANDE, DE POISSONS, DE CRUSTACÉS, DE MOLLUSQUES, D’AUTRES INVERTÉBRÉS AQUATIQUES OU D’INSECTES
1700000000 80;FR;2;SUCRES ET SUCRERIES
1800000000 80;FR;2;CACAO ET SES PRÉPARATIONS
1900000000 80;FR;2;"PRÉPARATIONS À BASE DE CÉRÉALES, DE FARINES, D'AMIDONS, DE FÉCULES OU DE LAIT; PÂTISSERIES"
2000000000 80;FR;2;PRÉPARATIONS DE LÉGUMES, DE FRUITS OU D'AUTRES PARTIES DE PLANTES
2100000000 80;FR;2;PRÉPARATIONS ALIMENTAIRES DIVERSES
2200000000 80;FR;2;BOISSONS, LIQUIDES ALCOOLIQUES ET VINAIGRES
2300000000 80;FR;2;"RÉSIDUS ET DÉCHETS DES INDUSTRIES ALIMENTAIRES; ALIMENTS PRÉPARÉS POUR ANIMAUX"
2400000000 80;FR;2;"TABACS ET SUCCÉDANÉS DE TABAC FABRIQUÉS; PRODUITS, CONTENANT OU NON DE LA NICOTINE, DESTINÉS A UNE INHALATION SANS COMBUSTION; AUTRES PRODUITS CONTENANT DE LA NICOTINE DESTINÉS A L'ABSORPTION DE LA NICOTINE DANS LE CORPS HUMAIN"
2500000000 80;FR;2;"SEL; SOUFRE; TERRES ET PIERRES; PLÂTRES, CHAUX ET CIMENTS"
2600000000 80;FR;2;MINERAIS, SCORIES ET CENDRES
2700000000 80;FR;2;"COMBUSTIBLES MINÉRAUX, HUILES MINÉRALES ET PRODUITS DE LEUR DISTILLATION; MATIÈRES BITUMINEUSES; CIRES MINÉRALES"
2800000000 80;FR;2;"PRODUITS CHIMIQUES INORGANIQUES; COMPOSÉS INORGANIQUES OU ORGANIQUES DE MÉTAUX PRÉCIEUX, D'ÉLÉMENTS RADIOACTIFS, DE MÉTAUX DES TERRES RARES OU D'ISOTOPES"
2900000000 80;FR;2;PRODUITS CHIMIQUES ORGANIQUES
3000000000 80;FR;2;PRODUITS PHARMACEUTIQUES
3100000000 80;FR;2;ENGRAIS
3200000000 80;FR;2;"EXTRAITS TANNANTS OU TINCTORIAUX; TANINS ET LEURS DÉRIVÉS; PIGMENTS ET AUTRES MATIÈRES COLORANTES; PEINTURES ET VERNIS; MASTICS; ENCRES"
3300000000 80;FR;2;"HUILES ESSENTIELLES ET RÉSINOÏDES; PRODUITS DE PARFUMERIE OU DE TOILETTE PRÉPARÉS ET PRÉPARATIONS COSMÉTIQUES"
3400000000 80;FR;2;"SAVONS, AGENTS DE SURFACE ORGANIQUES, PRÉPARATIONS POUR LESSIVES, PRÉPARATIONS LUBRIFIANTES, CIRES ARTIFICIELLES, CIRES PRÉPARÉES, PRODUITS D'ENTRETIEN, BOUGIES ET ARTICLES SIMILAIRES, PÂTES À MODELER, ""CIRES POUR L'ART DENTAIRE"" ET COMPOSITIONS POUR L'ART DENTAIRE À BASE DE PLÂTRE"
3500000000 80;FR;2;"MATIÈRES ALBUMINOÏDES; PRODUITS À BASE D'AMIDONS OU DE FÉCULES MODIFIÉS; COLLES; ENZYMES"
3600000000 80;FR;2;"POUDRES ET EXPLOSIFS; ARTICLES DE PYROTECHNIE; ALLUMETTES; ALLIAGES PYROPHORIQUES; MATIÈRES INFLAMMABLES"
3700000000 80;FR;2;PRODUITS PHOTOGRAPHIQUES OU CINÉMATOGRAPHIQUES
3800000000 80;FR;2;PRODUITS DIVERS DES INDUSTRIES CHIMIQUES
3900000000 80;FR;2;MATIÈRES PLASTIQUES ET OUVRAGES EN CES MATIÈRES
4000000000 80;FR;2;CAOUTCHOUC ET OUVRAGES EN CAOUTCHOUC
4100000000 80;FR;2;PEAUX (AUTRES QUE LES PELLETERIES) ET CUIRS
