goods_code,hier_pos,language,description
0100000000,2,FR,ANIMAUX VIVANTS
0101000000,4,FR,"Chevaux, ânes, mulets et bardots, vivants"
0101210000,6,FR,Chevaux
0101210000,6,FR,reproducteurs de race pure
0101290000,6,FR,autres
0101291000,8,FR,destinés à la boucherie
0101299000,8,FR,autres
0101300000,6,FR,Anes
0101900000,6,FR,autres
0102000000,4,FR,Animaux vivants de l'espèce bovine
0102210000,6,FR,Bovins domestiques
0102210000,6,FR,reproducteurs de race pure
0102211000,8,FR,Génisses (bovins femelles qui n'ont jamais vêlé)
0102213000,8,FR,Vaches
0102219000,8,FR,autres
0102290000,6,FR,autres
0102290500,8,FR,du sous-genre Bibos ou du sous-genre Poephagus
0102291000,8,FR,autres
0102291000,8,FR,d'un poids n'excédant pas 80|kg
0102291010,10,FR,jeunes bovins mâles destinés à l'engraissement
0102291020,10,FR,"Génisses, autres que celles destinées à la boucherie, des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau"
0102291030,10,FR,"Génisses, autres que celles destinées à la boucherie, des races du Schwyz et de Fribourg"
0102291040,10,FR,"Génisses, autres que celles destinées à la boucherie, de la race tachetée du Simmental"
0102291050,10,FR,"Taureaux, autres que ceux destinés à la boucherie, de la race tachetée du Simmental et des races du Schwyz et de Fribourg"
0102291090,10,FR,autres
0102292100,8,FR,d'un poids excédant 80|kg mais n'excédant pas 160|kg
0102292100,8,FR,destinés à la boucherie
0102292900,8,FR,autres
0102292910,10,FR,Jeunes bovins mâles destinés à l'engraissement
0102292920,10,FR,"Génisses des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau"
0102292930,10,FR,Génisses des races du Schwyz et de Fribourg
0102292940,10,FR,Génisses de la race tachetée du Simmental
0102292950,10,FR,Taureaux de la race tachetée du Simmental et des races du Schwyz et de Fribourg
0102292990,10,FR,autres
0102294100,8,FR,d'un poids excédant 160|kg mais n'excédant pas 300|kg
0102294100,8,FR,destinés à la boucherie
0102294900,8,FR,autres
0102294910,10,FR,Jeunes bovins mâles destinés à l'engraissement
0102294920,10,FR,"Génisses et vaches des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau"
0102294930,10,FR,Génisses et vaches des races du Schwyz et de Fribourg
0102294940,10,FR,Génisses et vaches de la race tachetée du Simmental
0102294950,10,FR,Taureaux de la race tachetée du Simmental et des races du Shwyz et de Fribourg
0102294990,10,FR,autres
0102295100,8,FR,d'un poids excédant 300|kg
0102295100,8,FR,Génisses (bovins femelles qui n'ont jamais vêlé)
0102295100,8,FR,destinées à la boucherie
0102295110,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320|kg et inférieur ou égal à 470|kg
0102295190,10,FR,autres
0102295900,8,FR,autres
0102295911,10,FR,"des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau"
0102295911,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320|kg et inférieur ou égal à 470|kg
0102295919,10,FR,autres
0102295921,10,FR,des races du Schwyz et de Fribourg
0102295921,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320|kg et inférieur ou égal à 470|kg
0102295929,10,FR,autres
0102295931,10,FR,de la race tachetée du Simmental
0102295931,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320|kg et inférieur ou égal à 470|kg
0102295939,10,FR,autres
0102295991,10,FR,autres
0102295991,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320|kg et inférieur ou égal à 470|kg
0102295999,10,FR,autres
0102296100,8,FR,Vaches
0102296100,8,FR,destinées à la boucherie
0102296900,8,FR,autres
0102296910,10,FR,"des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau"
0102296920,10,FR,des races du Schwyz et de Fribourg
0102296930,10,FR,de la race tachetée du Simmental
0102296990,10,FR,autres
0102299100,8,FR,autres
0102299100,8,FR,destinés à la boucherie
0102299110,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 350|kg et inférieur ou égal à 500|kg
0102299190,10,FR,autres
0102299900,8,FR,autres
0102299921,10,FR,Taureaux de la race tachetée du Simmental et des races du Shwyz et de Fribourg
0102299921,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 350 kg et inférieur ou égal à 500 kg
0102299929,10,FR,autres
0102299991,10,FR,autres
0102299991,10,FR,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 350|kg et inférieur ou égal à 500|kg
0102299999,10,FR,autres
0102310000,6,FR,Buffles
0102310000,6,FR,reproducteurs de race pure
0102390000,6,FR,autres
0102391000,8,FR,des espèces domestiques
0102391010,10,FR,d'un poids excédant 160 kg
0102391090,10,FR,autres
0102399000,8,FR,autres
0102900000,6,FR,autres
0102902000,8,FR,reproducteurs de race pure
0102909100,8,FR,autres
0102909100,8,FR,des espèces domestiques
0102909110,10,FR,d'un poids excédant 160 kg
0102909190,10,FR,autres
0102909900,8,FR,autres
0103000000,4,FR,Animaux vivants de l'espèce porcine
0103100000,6,FR,reproducteurs de race pure
0103910000,6,FR,autres
0103910000,6,FR,d'un poids inférieur à 50|kg
0103911000,8,FR,des espèces domestiques
0103919000,8,FR,autres
0103920000,6,FR,d'un poids égal ou supérieur à 50|kg
0103921100,8,FR,des espèces domestiques
0103921100,8,FR,Truies ayant mis bas au moins une fois et d'un poids minimal de 160|kg
0103921900,8,FR,autres
0103929000,8,FR,autres
0104000000,4,FR,Animaux vivants des espèces ovine ou caprine
0104100000,6,FR,de l'espèce ovine
0104101000,8,FR,reproducteurs de race pure
0104103000,8,FR,autres
0104103000,8,FR,Agneaux (jusqu'à l'âge d'un an)
0104108000,8,FR,autres
0104200000,6,FR,de l'espèce caprine
0104201000,8,FR,reproducteurs de race pure
0104209000,8,FR,autres
0105000000,4,FR,"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques"
0105110000,6,FR,d'un poids n'excédant pas 185|g
0105110000,6,FR,Volailles de l'espèce Gallus domesticus
0105111100,8,FR,Poussins femelles de sélection et de multiplication
0105111100,8,FR,de race de ponte
0105111900,8,FR,autres
0105119100,8,FR,autres
0105119100,8,FR,de race de ponte
0105119900,8,FR,autres
0105120000,6,FR,Dindes et dindons
0105130000,6,FR,Canards
0105140000,6,FR,Oies
0105150000,6,FR,Pintades
0105940000,6,FR,autres
0105940000,6,FR,Volailles de l'espèce Gallus domesticus
0105990000,6,FR,autres
0105991000,8,FR,Canards
0105992000,8,FR,Oies
0105993000,8,FR,Dindes et dindons
0105995000,8,FR,Pintades
0106000000,4,FR,Autres animaux vivants
0106110000,6,FR,Mammifères
0106110000,6,FR,Primates
0106120000,6,FR,"Baleines, dauphins et marsouins (mammifères de l'ordre Cetacea); lamantins et dugongs (mammifères de l'ordre Sirenia); otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)"
0106130000,6,FR,Chameaux et autres camélidés (Camelidae)
0106140000,6,FR,Lapins et lièvres
0106141000,8,FR,Lapins domestiques
0106149000,8,FR,autres
0106190000,6,FR,autres
0106200000,6,FR,Reptiles (y compris les serpents et les tortues de mer)
0106310000,6,FR,Oiseaux
0106310000,6,FR,Oiseaux de proie
0106320000,6,FR,"Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)"
0106330000,6,FR,Autruches; émeus (Dromaius novaehollandiae)
0106390000,6,FR,autres
0106391000,8,FR,Pigeons
0106398000,8,FR,autres
0106410000,6,FR,Insectes
0106410000,6,FR,Abeilles
0106490000,6,FR,Autres
0106900000,6,FR,autres
0106900010,10,FR,Grenouilles
0106900010,10,FR,destinées à l'alimentation humaine
0106900019,10,FR,autres
0106900090,10,FR,autres
0200000000,2,FR,VIANDES ET ABATS COMESTIBLES
0201000000,4,FR,"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées"
0201100000,6,FR,en carcasses ou demi-carcasses
0201100021,10,FR,Viandes bovines de haute qualité
0201100021,10,FR,de bison
0201100029,10,FR,autres
