goods_code,hier_pos,language,description
0100000000,2,EN,LIVE ANIMALS
0101000000,4,EN,"Live horses, asses, mules and hinnies"
0101210000,6,EN,Horses
0101210000,6,EN,Pure-bred breeding animals
0101290000,6,EN,Other
0101291000,8,EN,For slaughter
0101299000,8,EN,Other
0101300000,6,EN,Asses
0101900000,6,EN,Other
0102000000,4,EN,Live bovine animals
0102210000,6,EN,Cattle
0102210000,6,EN,Pure-bred breeding animals
0102211000,8,EN,Heifers (female bovines that have never calved)
0102213000,8,EN,Cows
0102219000,8,EN,Other
0102290000,6,EN,Other
0102290500,8,EN,Of the sub-genus Bibos or of the sub-genus Poephagus
0102291000,8,EN,Other
0102291000,8,EN,Of a weight not exceeding 80|kg
0102291010,10,EN,"Young male bovine animals, intended for fattening"
0102291020,10,EN,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter"
0102291030,10,EN,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter"
0102291040,10,EN,"Heifers of the spotted Simmental breed, other than for slaughter"
0102291050,10,EN,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter"
0102291090,10,EN,Other
0102292100,8,EN,Of a weight exceeding 80|kg but not exceeding 160|kg
0102292100,8,EN,For slaughter
0102292900,8,EN,Other
0102292910,10,EN,"Young male bovine animals, intended for fattening"
0102292920,10,EN,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
0102292930,10,EN,Heifers of the Schwyz and Fribourg breeds
0102292940,10,EN,Heifers of the spotted Simmental breed
0102292950,10,EN,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
0102292990,10,EN,Other
0102294100,8,EN,Of a weight exceeding 160|kg but not exceeding 300|kg
0102294100,8,EN,For slaughter
0102294900,8,EN,Other
0102294910,10,EN,"Young male bovine animals, intended for fattening"
0102294920,10,EN,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
0102294930,10,EN,Heifers and cows of the Schwyz and Fribourg breeds
0102294940,10,EN,Heifers and cows of the spotted Simmental breed
0102294950,10,EN,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
0102294990,10,EN,Other
0102295100,8,EN,Of a weight exceeding 300|kg
0102295100,8,EN,Heifers (female bovines that have never calved)
0102295100,8,EN,For slaughter
0102295110,10,EN,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
0102295190,10,EN,Other
0102295900,8,EN,Other
0102295911,10,EN,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
0102295911,10,EN,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
0102295919,10,EN,Other
0102295921,10,EN,Of the Schwyz and Fribourg breeds
0102295921,10,EN,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
0102295929,10,EN,Other
0102295931,10,EN,Of the spotted Simmental breed
0102295931,10,EN,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
0102295939,10,EN,Other
0102295991,10,EN,Other
0102295991,10,EN,"Not yet having any permanent teeth, of a weight of not less than 320|kg but not more than 470|kg"
0102295999,10,EN,Other
0102296100,8,EN,Cows
0102296100,8,EN,For slaughter
0102296900,8,EN,Other
0102296910,10,EN,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed"
0102296920,10,EN,Of the Schwyz and Fribourg breeds
0102296930,10,EN,Of the spotted Simmental breed
0102296990,10,EN,Other
0102299100,8,EN,Other
0102299100,8,EN,For slaughter
0102299110,10,EN,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg"
0102299190,10,EN,Other
0102299900,8,EN,Other
0102299921,10,EN,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds"
0102299921,10,EN,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg"
0102299929,10,EN,Other
0102299991,10,EN,Other
0102299991,10,EN,"Not yet having any permanent teeth, of a weight of not less than 350|kg but not more than 500|kg"
0102299999,10,EN,Other
0102310000,6,EN,Buffalo
0102310000,6,EN,Pure-bred breeding animals
0102390000,6,EN,Other
0102391000,8,EN,Domestic species
0102391010,10,EN,Of a weight exceeding 160 kg
0102391090,10,EN,Other
0102399000,8,EN,Other
0102900000,6,EN,Other
0102902000,8,EN,Pure-bred breeding animals
0102909100,8,EN,Other
0102909100,8,EN,Domestic species
0102909110,10,EN,Of a weight exceeding 160 kg
0102909190,10,EN,Other
0102909900,8,EN,Other
0103000000,4,EN,Live swine
0103100000,6,EN,Pure-bred breeding animals
0103910000,6,EN,Other
0103910000,6,EN,Weighing less than 50|kg
0103911000,8,EN,Domestic species
0103919000,8,EN,Other
0103920000,6,EN,Weighing 50|kg or more
0103921100,8,EN,Domestic species
0103921100,8,EN,"Sows having farrowed at least once, of a weight of not less than 160|kg"
0103921900,8,EN,Other
0103929000,8,EN,Other
0104000000,4,EN,Live sheep and goats
0104100000,6,EN,Sheep
0104101000,8,EN,Pure-bred breeding animals
0104103000,8,EN,Other
0104103000,8,EN,Lambs (up to a year old)
0104108000,8,EN,Other
0104200000,6,EN,Goats
0104201000,8,EN,Pure-bred breeding animals
0104209000,8,EN,Other
0105000000,4,EN,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
0105110000,6,EN,Weighing not more than 185|g
0105110000,6,EN,Fowls of the species Gallus domesticus
0105111100,8,EN,Grandparent and parent female chicks
0105111100,8,EN,Laying stocks
0105111900,8,EN,Other
0105119100,8,EN,Other
0105119100,8,EN,Laying stocks
0105119900,8,EN,Other
0105120000,6,EN,Turkeys
0105130000,6,EN,Ducks
0105140000,6,EN,Geese
0105150000,6,EN,Guinea fowls
0105940000,6,EN,Other
0105940000,6,EN,Fowls of the species Gallus domesticus
0105990000,6,EN,Other
0105991000,8,EN,Ducks
0105992000,8,EN,Geese
0105993000,8,EN,Turkeys
0105995000,8,EN,Guinea fowls
0106000000,4,EN,Other live animals
0106110000,6,EN,Mammals
0106110000,6,EN,Primates
0106120000,6,EN,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0106130000,6,EN,Camels and other camelids (Camelidae)
0106140000,6,EN,Rabbits and hares
0106141000,8,EN,Domestic rabbits
0106149000,8,EN,Other
0106190000,6,EN,Other
0106200000,6,EN,Reptiles (including snakes and turtles)
0106310000,6,EN,Birds
0106310000,6,EN,Birds of prey
0106320000,6,EN,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
0106330000,6,EN,Ostriches; emus (Dromaius novaehollandiae)
0106390000,6,EN,Other
0106391000,8,EN,Pigeons
0106398000,8,EN,Other
0106410000,6,EN,Insects
0106410000,6,EN,Bees
0106490000,6,EN,Other
0106900000,6,EN,Other
0106900010,10,EN,Frogs
0106900010,10,EN,Fit for human consumption
0106900019,10,EN,Other
0106900090,10,EN,Other
0200000000,2,EN,MEAT AND EDIBLE MEAT OFFAL
0201000000,4,EN,"Meat of bovine animals, fresh or chilled"
0201100000,6,EN,Carcases and half-carcases
0201100021,10,EN,High quality beef and veal
0201100021,10,EN,Of bison
0201100029,10,EN,Other
0201100092,10,EN,Other
